"code","region","name","type_1_departments_major_a_e_4","type_2_departments_single_specialty_5","type_3_departments_other_a_e_minor_injury_unit_6","total_attendances","type_1_departments_major_a_e_8","type_2_departments_single_specialty_9","type_3_departments_other_a_e_minor_injury_unit_10","total_attendances_4_hours","type_1_departments_major_a_e_12","type_2_departments_single_specialty_13","type_3_departments_other_a_e_minor_injury_unit_14","total_attendances_4_hours_2","percentage_in_4_hours_or_less_all","percentage_in_4_hours_or_less_type_1","percentage_in_4_hours_or_less_type_2","percentage_in_4_hours_or_less_type_3","emergency_admissions_via_type_1_a_e","emergency_admissions_via_type_2_a_e","emergency_admissions_via_type_3_and_4_a_e","total_emergency_admissions_via_a_e","other_emergency_admissions_i_e_not_via_a_e","total_emergency_admissions","number_of_patients_spending_4_hours_from_decision_to_admit_to_admission","number_of_patients_spending_12_hours_from_decision_to_admit_to_admission","x28","month"
"RDD","NHS England East Of England","Basildon And Thurrock University Hospitals NHS Foundation Trust",10851,0,0,10851,9424,0,0,9424,1427,0,0,1427,0.868491383282647,0.868491383282647,NA,NA,3165,0,0,3165,217,3382,465,0,"Mid and South Essex STP",2020-02-01
"RC1","NHS England East Of England","Bedford Hospital NHS Trust",6004,0,1654,7658,5150,0,1654,6804,854,0,0,854,0.888482632541133,0.857761492338441,NA,1,2045,0,267,2312,0,2312,82,0,"Bedfordshire, Luton and Milton Keynes STP",2020-02-01
"RGT","NHS England East Of England","Cambridge University Hospitals NHS Foundation Trust",9223,0,4445,13668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2234,0,28,2262,415,2677,469,7,"Cambridgeshire and Peterborough STP",2020-02-01
"NQ108","NHS England East Of England","Clacton Hospital",0,0,2577,2577,0,0,2575,2575,0,0,2,2,0.999223903764067,NA,NA,0.999223903764067,0,0,0,0,0,0,2,0,"Suffolk and North East Essex STP",2020-02-01
"RWH","NHS England East Of England","East And North Hertfordshire NHS Trust",8889,0,4339,13228,6948,0,4337,11285,1941,0,2,1943,0.853114605382522,0.781640229497131,NA,0.99953906430053,3078,0,0,3078,910,3988,330,0,"Hertfordshire and West Essex STP",2020-02-01
"RDE","NHS England East Of England","East Suffolk And North Essex NHS Foundation Trust",13209,0,5649,18858,10517,0,5501,16018,2692,0,148,2840,0.849400784812812,0.796199560905443,NA,0.973800672685431,4385,0,155,4540,1954,6494,265,1,"Suffolk and North East Essex STP",2020-02-01
"NQ106","NHS England East Of England","Fryatt Hospital",0,0,530,530,0,0,530,530,0,0,0,0,1,NA,NA,1,0,0,0,0,0,0,0,0,"Suffolk and North East Essex STP",2020-02-01
"RY4","NHS England East Of England","Hertfordshire Community NHS Trust",0,0,893,893,0,0,892,892,0,0,1,1,0.998880179171333,NA,NA,0.998880179171333,0,0,0,0,0,0,0,0,"Hertfordshire and West Essex STP",2020-02-01
"DT301","NHS England East Of England","Herts Urgent Care (Ascots Lane)",0,0,1759,1759,0,0,1758,1758,0,0,1,1,0.999431495167709,NA,NA,0.999431495167709,0,0,0,0,0,0,0,0,"Hertfordshire and West Essex STP",2020-02-01
"RGP","NHS England East Of England","James Paget University Hospitals NHS Foundation Trust",5889,0,232,6121,4774,0,222,4996,1115,0,10,1125,0.816206502205522,0.810663949736797,NA,0.956896551724138,1387,0,0,1387,498,1885,183,0,"Norfolk and Waveney Health & Care Partnership (STP)",2020-02-01
"RC9","NHS England East Of England","Luton And Dunstable University Hospital NHS Foundation Trust",8180,0,4261,12441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2906,0,0,2906,1069,3975,39,0,"Bedfordshire, Luton and Milton Keynes STP",2020-02-01
